Chemical Formula,Space Group Number,Band gap (eV)
NbGaO4,1,3.576
KRb2CrF6,1,3.128
CdF2,1,2.795
Rb3CoF6,1,3.442
Li2AcSn,1,1.828
Rb2ScTlCl6,1,4.074
Be,1,0
Rb2Al2O3,1,1.65
Mo,1,0
Ba2ErTaO6,1,2.96
ScPaO4,1,3.229
CoF2,1,2.963
MnF2,4,2.248
PmF3,1,2.627
SmSBr,8,2.519
Rb2TlAgF6,1,2.807
LuIr3,1,3.375
LiN,1,3.186
FeF2,1,2.422
GaSeCl,1,2.007
KGeBr3,1,2.346
ErBr3,1,3.496
Cs2NiO3,1,2.818
LaAgO2,5,3.181
MoF3,1,2.282
Rb2P2Pd,1,1.354
NdSBr,1,2.276
CdF2,5,3.133
Rb2AgMoF6,1,3.102
K2NaCoF6,1,2.8
ThBrN,2,3.203
OsO4,1,2.687
K3CoF6,1,2.674
ThPt3,1   0.0,2.99
MnF2,2,2.974
Na4Sn(GeS3)2,1,3.013
ErCo5,1,0
YMgAu2,1,1.584
CsDyS2,1,2.66
GdCl3,1,3.076
InPbCl3,1,2.973
SiTc2W,1,2.854
Ba2DyPaO6,1,2.759
ScVO4,1,1.807
ThBrN,1,3.084
Ba2HfO4,8,3.188
TiCdO3,1,1.888
KBa2IO6,2,2.994
LiLu2Os,1,0.109
NaTl2MoF6,1,3.51
Rb2NaRhF6,1,2.599
TlGeCl3,1,2.557
Be5Bi,1,3.23
ErNbO4,1,3.697
Sm2SO2,2,2.772
Cs2NaInBr6,1,2.634
RbPbBr3,1,3.324
Sm2SO2,12,2.622
Tl3FeF6,1,2.678
Ba2HfO4,2,3.278
KBa2IO6,1,2.749
Ba2HfO4,5,3.057
LuPaTc2,1,0.041
NiF3,1,3.127
LaAlAu,1,0
Cu3SnC,1,3.21
Al2ZnS4,1,3.362
ZrSO,1,2.769
RbVF6,1,3.696
CsInF3,1,3.47
Ba2HfO4,1,3.214
Ba2YTaO6,1,3.208
Rb2FeF4,1,3.145
ZrB12,1,2.774
GdOF,2,2.736
MgMnPd2,1,0.044
LuFe2W,1,0
KNbO3,1,4.055
CsPbCl3,1,3.097
LaAgO2,1,2.692
SrBiClO2,1,3.554
BaNaDyHW2,1,1.773
BaZrO3,1,3.218
TmBr3,1,3.172
SrN2,1,2.706
SnRh2,1,1.4
Tc,1,3.138
DyBr3,1,3.221
Ba2HoTaO6,1,3.092
Co3W,1,0
PaHO4,1,2.123
Ca2PI,1,2.717
Tl2GaHF6,1,3.469
Cs2GeCl6,1,3.114
Mn3Ir,1,0.064
GaCl3,1,3.184
CrF3,1,2.984
TbBO3,1,3.129
SrAcAu2,1,2.982
Cs2LiInCl6,1,3.316
NbZn,1,0
InBrO,1,2.747
LuNbO4,1,2.124
Cs2SbO2,1,2.975
TmTl3,1,0.65
Cs2HfBr6,1,3.771
MnF2,58,2.936
GdSBr,1,2.738
SrSn(BO3)2,1,2.437
PaRh3,1,0
Rb2ZnAsF6,1,3.103
AlFe2W,1,1.634
DyTiClO3,1,3.315
ErBrO,1,3.809
PmHoRh2,1,0.154
Na4Zn2Se5,1,1.754
YBi2ClO4,1,2.596
MnF2,31,2.742
NaHAu2,1,2.894
Ba2TmReO6,1,3.272
ZnSe,1,1.951
SrBrF,1,3.064
Sm2SO2,1,2.962
FeB2,1,3.302
HPt3,1,2.974
HfZrCo2,1,0
K2RbMnF8,1,3.203
KCo3,1,3.214
Hf2Cd,1   0.0,2.99
BaAg5,1,2.516
RbOsO3,1,2.7
LiAsF6,1,3.026
Lu2S3,1,3.628
MgPdF6,1,2.788
Rb3MoF6,1,3.265
Rh3Se8,1,0.042
Al4O7,1,3.126
Cs2CeAgBr6,1,2.276
Na2ZnSe2,1,2.219
CeO,1,2.635
Cs2TeCl6,1,3.855
Rb2LiMoF6,1,3.119
Cs2Hf2Br5,1,3.345
LiScAs2O7,1,2.686
LaVO4,1,2.779
Cs2KAsF6,1,3.15
Ba2PaHO6,1,2.442
TaCu3Se3S,1,2.788
ZrHO3,1,3.097
Ti2Cd2O7,1,2.706
CaAl2Sb2O7,1,2.737
Sm3I,1,2.924
DyB2,1,3.011
UTl2O4,1,2.851
Rb2LiHF6,1,3.062
BaCN2,1,2.565
LuCuPbS3,1,2.666
GeO2,1,2.527
TbSe,1,2.531
UO3,1,2.252
Eu,2,2.573
Cs2NiO,1,2.804
RbUO3,1,1.901
Mn3Zn2O8,1,3.029
BaBr2,1,3.28
Cs2InGaF6,1,3.682
HSe2,1,2.763
YIr3,1,2.5
Rb2Se,1,2.959
Mn2V2O7,1,2.496
B2H,1,3.249
Co3H,1,3.005
ErCu2,1,2.665
NaMoO3F,1,2.964
H3W,1,2.672
Ba2MgWO6,1,3.249
Li2AgAu,1,2.753
Rb3TiF6,1,3.115
H3BrO,1,3.297
Ca2N,1,1.914
FeB5Mo2,1,3.132
Ba2InOsO6,1,2.891
Rb2LiTiF6,1,3.309
Ga4Se4Cl5,1,2.677
Cs2AlTlF6,1,3.091
Ba2TmMoO6,1,3.105
Cs2LiGdCl6,1,3.076
Nb4C3,1,2.914
RbAlO2,1,1.147
Tc4N,1,1.556
Sr3V2O8,1,2.926
TiCuF6,1,2.754
NbC,1,2.238
Na2H2Pd,1,1.426
ScN,1,2.922
Gd3I,1,2.632
TaB,1,2.91
Rb2NaScCl6,1,3.144
Cu3SbS4,1,1.998
TmMgCu,1,1.804
Rh4Se7,1,0.011
Cs2NaInF6,1,3.144
K2PtBr6,1,2.952
Cs2LuAgCl6,1,1.54
RhSe3,1,0.185
K2O,1,2.88
ZrPaOs2,1,2.558
HfCu2Te3,1,2.753
Cs2KGdCl6,1,3.482
Cr,2,2.761
RbSrCl3,1,3.515
ThBr,1,2.891
Cs2KHCl6,1,3.237
Na2Mo2O5F3,1,2.573
Cs2KNF6,1,3.158
Cs2KYCl6,1,3.332
Cs2NaTbCl6,1,3.506
ErBi2ClO4,1,2.786
ZrZn,1,2.774
SrAl2Te5,1,2.755
Ca2CrAgF6,1,2.226
FeB5,1,3.046
TcO2,1,1.866
NdPaO4,1,2.974
CsHoO2,1,2.884
MgZrF6,1,3.723
Ni2Mo,1,0
Co6HW2,1,2.982
AlPt3,1,0
Cs2KTbCl6,1,3.232
RbSmSe2,1,2.412
CsTeAu,1,2.583
Cs2LiHCl6,1,3.288
CoBr2,1,2.828
KBaNdW,1,2.994
TaN,1,2.547
FeB,1,2.448
Eu(SiNi)2,1,2.687
SbOsS,1,2.856
NbRe,1,3.516
PmSmMg2,1,2.594
CoMoP,1,3.128
PdPbF4,1,2.674
ErTlSe2,1,2.38
CsAcTe2,1,2.422
TaZnCo2,1,0
NiB,1,3.087
DyMgCu,1,2.486
Sm2BiO2,1,2.511
RbNO3,1,3.434
HoZnRh,1,2.5
XeF2,1,3.178
Nd2MgAl,1,0
Cs2PdCl4,1,1.148
CrB,1,3.576
ScIn,1,0
Nd(NiGe)2,1,2.994
ZrCuSiAs,1,2.412
Mn2B4Mo,1,3.315
Na4SnGe2,1,1.148
ErTl3,1,3.029
NbB,1,3.347
Ga3HPd,1,2.622
Ti2Pt7,1,3.378
Gd2MgTl,1,2.583
Pm2HPb,1,0.65
Ce4GeS3,1,1.148
HfGeTe,1,2.412
AcEuZn2,1,3.554
ScCdAg2,1,2.527
Sr(PPd)2,1,3.206
V2CrH,1,2.536
MoPH,1,1.096
NdTlTe2,1,3.362
TcN,1,2.985
Cs2NaUCl6,1,3.576
VCo3,1,0
Ca(CdAu2)2,1,3.446
LuNi,1,0
BaTiSe3,1,1.148
Fe3SnC,1,3.081
ZrBr,1,1.148
Er2AgRu,1,2.944
Li2TlAu,1,0.978
TaGaFe2,1,3.131
Ti2FeRu,1,3.576
SmHoHg2,1,3.181
HoSiNi4,1,2.795
PmCdAg2,1,2.672
Ta,1,0
RbCuO2,1,1.148
NaPrAu2,1,2.437
UC,1,3.191
Zr4C2S3,1,3.576
CuMoF6,1,2.412
SmSe,1,3.064
Co5Mo3P4,1,3.268
LiLuAu2,1,3.469
K2As2Pd,1,3.272
In,2,0
Dy2Ni2Sn,1,2.828
CuBr2,1,1.148
MgZn2,1,2.412
BaGaSi,1,2.91
HfAlCu2,1,2.896
IrSe3,1,2.804
Ti2Sb,1,2.61
HgPt3,1,1.148
Ni2B3,1,1.354
HoC,1,2.574
Si3Ir5,1,2.672
BeAlIr2,1,2.38
GaSiRu2,1,2.531
Ta4B2O,1,1.148
TiN,1,0.855
Rb5P3Pd2,1,3.554
SmHg2H,1,0.65
SmAl4Ni,1,2.914
Gd,1,0
ZrB2,1,2.627
ZrInNi2,1,2.412
FeB5Mo,1,1.148
CeZn2,1,3.628
Ac3In,1,2.583
Ta2NbOs,1,3.434
ZrAs,1,0.98
TiSi,1,3.628
La2MgAl,1,1.354
Lu2ZnRu,1,3.302
AlAu,1,0
