Chemical Formula,Space Group Number,Ed (eV/atom)
HfRuSe2,8,1.265
PRhS2,6,0.5
CaSmS2,123,0.059
SrVSe2,6,0.399
BaNiS,47,0.568
ErI2F,123,1.292
CeGaAs,47,0.39
SrTiP2,6,0.39
KLaO,187,0.709
MoHCl,187,0.824
SbHBr2,6,0.34
GdTmAs2,123,-0.008
Eu2SiSe,123,0.264
