Chemical Formula,Space Group Number,Ed (eV/atom)
MnGe,1,0.353
CsF,1,0.271
BiTeI,8,0.002
Sm2Cr2C3,1,0.545
PHIr,1,0.353
Cs2SnBr6,1,0.194
NaLiCdS2,1,0.155
SnHAu2,1,0.233
TbSiIr,1,0.345
NaCd2Pt,1,0.158
PdPbO2,1,0.216
KPrS2,1,0.356
KSbS2,1,0.222
Rh2S3,1,0.194
BeSiP2,1,0.524
Sc3PbC,6,0.261
TiCo2H,8,0.232
ErCuAs2,8,0.316
MnCu2AsSe4,1,0.16
Mg2Se3,1,0.157
KRb2InCl6,1,0.078
FeP,11,0.531
RbCl2,1,0.201
HCl2,1,0.018
CsAuSe,1,0.014
ScAgSn,4,0.11
Er6MnTe2,6,0.254
HN,1,1.221
Na3Sb,1,0.215
YBi2ClO4,1,0.107
Sb2Pt,1,0.231
Er6MnBi2,8,0.29
SbH,8,0.054
NdSi2Ru,12,0.08
CdSnF6,1,0.161
TbTlS2,1,0.072
GaPPd5,1,0.189
LiGa2,1,0.149
AlSiRu2,123,0.06
Ti2Cd2O7,1,0.252
SrAl2,8,0.056
SrZnF3,1,0.631
Sc2NiRu,8,0.434
ZrMnRh2,5,0.416
CsLiZn,1,0.375
H2IrRu,1,0.306
KIO3,1,0.7
YGeRh2,44,0.257
ErGaTc2,12,0.38
TiIn,2,0.2
InNi4H,1,0.289
CsAgCl3,1,0.151
Lu2ZnRu,6,0.052
NiSb2,1,0.349
PmPPd,4,-0.142
SmBi,1,0.282
InPt3,139,0.097
CeGa,2,0.037
Ag2H3,1,0.251
VGeH2,1,0.219
KMgP,1,0.411
CeN,119,0.202
Ti2AlRe,1,0.247
TlHO3,1,0.289
Pr2CBr,1,0.182
CsAuO2,1,0.517
LiYSi,6,0.186
CaCdAg2,2,0.124
NaSnP,1,0.166
ZrMo2,2,0.13
DyCl3,1,0.041
