Chemical Formula,Space Group Number,Ed (eV/atom)
Pr7In11Pt2,8,0.239
K3AlF8,8,0.166
SmMgTl2,8,0.152
NdHoSeO2,99,0.047
MgTi3AgO8,1,0.167
Er3PbI10,1,0.134
Cs2KLiCl6,1,0.083
VZnOsRu,1,0.148
VRe8Si2Mo,1,0.234
EuAsAu,25,0.087
Tb5Ni2P12Au,1,0.322
Ba2Cd5As6,1,0.218
CuPdC,1,0.978
BeNb5Al2GeBRuC,6,0.446
AlAgF4,1,0.101
ScBe2N3,5,0.565
Na11As7,1,0.06
NdSm2O6,164,0.125
Ti4CuO7,1,0.327
Ru2PtW,225,0.355
Mg2MnSn2GeS6,6,0.175
Tb4Ga11Cu,6,0.147
TmAgSn2,25,0.25
MgZrB5Os3,38,0.183
Te4Mo2W2Se3,1,0.258
Nb5S4,6,0.19
BaSrAs2,6,0.298
KTlHgCl3,8,0.212
DyHg,8,0.207
Ti2Sb2SeS5I2,1,0.162
Nb3Pb2O7,6,0.327
Ca2La3Tm2O12,1,0.203
TbI2,12,0.011
Te2Mo4WSeS4,1,0.411
Tb4TeI3,1,0.292
CeAlRe3,221,1.325
RbHgN,6,0.614
Y6Al4GaGe,25,0.241
HoHg3,160,0.146
Ta7C4S5,1,0.435
CuPt2Rh3,8,0.182
Ca2TlCuO2,2,0.497
Bi2SO2,156,0.002
Dy3Cr2AgS9,1,0.188
TlV3PS4,1,0.215
La2Pr5Ni2As2P2SeBr,1,0.274
DySn2,6,0.201
AgAsAuF6,1,0.328
Ho2Pb,12,0.238
Ba3TaO6,5,0.16
Li3Cu4BrO6,1,0.291
Ta2BC,123,0.08
HfZr4Co3P4,6,0.2
Mo4SeS8,1,0.012
Ti2Fe3As2,8,0.362
SrEu2BiO6F,1,0.066
BaLaBiO7,6,0.475
YF3,1,0.15
Pd3Ru,139,0.151
EuInS2,6,0.094
Sc3SnGeSbIr5Pt,6,0.349
KRb2InF6,6,0.173
Gd2DyB8C,6,0.209
SrIn2,6,0.316
SmSi6Pd5,6,0.304
BeRu,12,0.256
CeFe4As3,8,0.28
Lu3Zn5Pd,6,0.231
EuCu2Si2H,8,0.295
Sr6Sn9Bi,6,0.213
BaCaH4,8,0.112
SbPt3,123,0.149
NbMo3SeS7,1,0.459
Cs2CrCl7,2,-0.076
ReIrOsO7,1,0.396
LaGdIn2SnPt,1,0.211
BaSrCdHg,8,0.099
KRbRuF6,8,-0.015
ScTiAlAu,216,0.262
Zr2CuPd,225,0.162
Tm5BiTe5As,1,0.385
Nd2Sn5Pd2,99,0.249
Er2Pd4Se5Br,1,0.386
BeZnPt,160,0.186
H2O2,1,0.257
SmErIr2,123,0.088
TiCrFeCo4CuCSeS5,1,0.292
Sc3Cd,6,0.133
Ca3Al5Ni4,187,0.284
Si7Mo11,6,0.133
Si2Ni2Rh,8,0.286
NdSiNi3,221,0.507
CsSc2Cl7,1,0.179
LuFe3Si2,191,0.113
FeCo6SbN,25,0.189
BaCuF3,6,0.413
Y2SiSnIr5,99,0.222
SrZr4O6F7,1,0.13
LaZn3,8,0.206
In2Rh,140,0.168
PrNd2Ir,5,0.473
Na2OF,47,0.274
Zr3GaPd4,25,0.154
Ag3Ge2F11,1,0.09
Ba2SrSe5,1,0.129
Zr2I3Br,1,0.135
Tb2DyY,123,0.079
Gd2Sb,12,0.167
CsCdHg2I5,1,0.262
FeSi,38,0.384
Ba3SbO,6,0.101
In2BiSe4,3,0.133
Eu2Cu3Ge,187,0.182
HgI3,1,-0.023
Bi2Se3,8,0.009
BaDy4O7,8,0.151
ReO3,1,0.235
Mg11NbN8,1,0.217
Ce2Cd2S5,1,0.191
TiVS4,1,0.062
BaLa5Bi4,6,0.272
Nd2Bi2O3,156,0.546
Tb3Dy,99,0.085
Li2Au3O4F,1,0.354
V5Si4Ni4Ge,6,0.36
La5F13,1,0.134
Nd3Rh,6,0.12
Y2CdBr6,1,0.345
CdCuAuO4,2,0.151
Lu2Fe3Si5NiPb,1,0.402
Cs3PbI4,1,0.182
CdBiI5O,1,0.085
Ta2BTe2Mo,8,0.68
Lu3ZnGa2Ag2P,8,0.367
CaHo4O6,1,0.192
NiSn2,8,0.203
Sm5ErS10,1,0.097
Ca2H3ClOF4,1,0.221
MoPdRuSe4Br5,1,0.072
LaCuO2,8,0.362
LiSbO4,2,0.387
LiSiPt,160,0.027
NiTe2,1,0.215
Cu3ClO4,1,0.294
AlF3,2,0.042
SrAgO2,12,0.143
Li2CaHg,8,0.113
CsRbPrCl7,8,0.173
K2AgBiF7,1,0.143
Lu2SbBrO5,6,0.186
Sc2Ge,62,0.183
LaMgPd2,8,0.131
ScFeP2,6,0.573
LiErPt2,225,0.044
Zn2SiH2O5,1,0.097
LiAl2Cu,216,0.174
YCu4O5,1,0.319
PrY2Si5Pd6C,1,0.34
BiPdO3,8,0.224
MnAlAu6,8,0.118
Ca2Eu2TlPb,6,0.101
Na9La2Bi4Cl,1,0.134
Na3S2,164,0.207
CuPtO4,8,0.108
Te4Mo3WS2,1,0.497
Er2Cu3PbS6,6,0.195
Al3Ag4H,1,0.146
Cs4EuSBr4,1,0.125
EuAlO2,123,0.201
CdCo5,123,0.258
Te7MoW,1,-0.029
P6Os,1,0.247
CeHfZr2Ti8Pb3,1,0.279
Fe2SiN3,6,0.231
KPdF2,1,0.289
Ba2GeBi,1,0.308
Na3Sb,8,0.016
RbSbSe2,1,0.048
ErTl2In,160,0.321
Ba2Tm4TiClO10,1,0.238
La2I4Br,8,0.261
SrLiEu2,8,0.112
Tb6CrFe2C9,1,0.237
Hg6AuCl5,1,0.195
GdCoBC,6,0.119
Mo2WSe2S3,1,0.266
Dy3AgO4,3,0.659
MnAl2Ru,225,0.136
Na3NdS4,1,0.306
TmAlCu2,225,0.192
NbOs,221,0.119
Nb3O7,1,0.159
SrSmS2,99,0.091
Ce2AlSi2Ge,25,0.013
RbOsCl3F,1,0.505
In2CuAgTe4,1,0.193
Tb4Al7Au,6,0.146
Mg2InHg,12,0.152
Ba4Ca2Cd2InO9,1,0.18
Ga2CuS2,1,0.4
BeZnSn3HgPHPt3,1,0.355
TbPrY2,8,0.066
CoAg3Sn2Se5Cl,1,0.176
MgBRh,129,0.175
LuZnCuHg,8,0.247
Sb2O5,1,0.269
Rb3CuO4,3,0.252
AlC2O5,1,0.383
Ti3Te3S,156,0.146
KPrCl3,8,0.127
Gd3CuO6,6,0.162
RbCl2,1,0.079
PrEr3In2NiBi,6,0.472
BaNdO2,166,0.092
LiTm4LuSe5S,1,0.177
In3Ge2N,1,0.395
C,2,0.829
CsNd2Cu2PbF12,1,0.233
EuSeS2,25,0.235
KAs3,1,0.34
MnAu4Se5,1,0.122
CdSb5Rh4,8,0.268
Ba2I5,1,0.035
SrH3ClF3,1,0.424
Lu6CoSn5,1,0.305
CaNb2CoSbPS,8,0.273
DyHoNi2,8,0.236
SnPt3O4,1,0.512
Rb2AgBr2,25,0.471
NaMnCuAsSe4,1,0.141
Si3Pt3Rh2,8,0.176
Ce2P6Os,1,0.244
LiY4O7,1,0.146
Ca2Ti3Cu2O9,1,0.401
Ti3Tl,123,0.162
DyCo2C,12,0.304
Ca2Al3O7,1,0.186
MoW3Se5S,1,0.431
TbErTaSi7Pd8Ru,6,0.196
TiAlV5HC2,8,0.164
Ti3Bi2PbO8,1,0.235
BaBO3,1,0.064
Ti3AsO8,1,0.113
Dy2Cu2Ge,12,0.269
BIrPd5,1,0.157
Ti3Al2Ni,8,0.279
K3Hg5,1,0.128
Dy6In7Ge2,6,0.253
AlO2,12,0.32
AlB2Pd9,1,0.035
Li3Ti2Cu2HO7,6,0.232
NdYInCu,99,0.185
AgSn2PS2,44,0.256
NaMnN2,166,0.158
SbICl6,1,0.108
Co2Ge,10,0.253
Hf4AlGe3Ru2Pt,1,0.393
TiCo2Ge,119,0.242
BaLuZnTe3ClO5,1,0.593
NaTiPd2,8,0.3
Ca2HoN2O,156,0.212
TiSe2,6,0.088
MnIn2,12,0.423
Y2InPt5,123,0.095
PC3NCl9,1,0.334
Ti4AlAsRh3CO2,1,0.585
Ni3SnP4,1,0.392
HoAl3Fe2,6,0.223
MgSc3Au4,1,0.074
Sc3Tl,12,0.202
RbCu2B2O7,1,0.187
CsRbBe2OF7,1,0.294
Zn3SbF8,1,0.292
Rb4I5,1,0.103
H2ICl2,1,0.123
BaCuF5,12,-0.067
ZrGa4Pd5,6,0.186
SrSbTe3,6,0.132
YSe5O6,1,0.158
NaTl3,6,0.111
Rb3Pd2Se3,1,0.147
Ba2InRhO4,1,0.29
Te3Mo2WS6,1,0.347
LaSbO,2,-0.032
Ce2InHg,12,0.086
Rb6TeIBr11,1,0.117
Te3Ir,1,0.081
Sr6In3Pt7,6,0.14
La3Sn8Bi,1,0.397
HoLuS2,160,0.038
SrHg2,63,0.124
Nd3Sn7Pt2,1,0.228
NdNiP,187,0.118
Cs3TeBrCl5,1,0.169
Cs2ZnAsF6,1,0.272
MgTlSnHgP3S11,1,0.263
B3As3Rh2,1,0.47
P10Os,2,0.128
HoPt3,139,0.147
P2O3F5,1,0.149
Ba2Tm2O5,6,0.065
TaCrRu2,8,0.148
CaAgTeCl,8,0.164
CaGa3,1,0.245
Tb3FeSi6,1,0.104
Nd3Ni2Sn2HPb2,1,0.254
MgIrPtRh,47,0.149
Co3Se4,6,0.062
Cs2Si3RhO10,1,0.119
Eu2Ni7Ge3,6,0.19
TlInN2,38,0.72
La2OsO6,1,0.094
LuMg2Ti2S7,1,0.179
PrLu4TeSe5,8,0.106
Ag4GeSe3Br,8,0.119
HoTl6Cl7,1,0.134
Nb4V2B13W,6,0.246
LiMg8Pb,1,0.141
CrFeSb,160,0.225
MgZnO2,59,0.138
YSi2,63,0.093
SiO2,2,0.257
BaCdSb,8,0.12
Dy4Cl2O5,1,0.054
ZnAu5,5,0.113
EuZnBi2PbO7,1,0.147
Y2Si5Ni7,8,0.288
Nb2AlGa3Co2,6,0.21
Cu2Bi2SeO6,1,0.169
CdSbF4,6,0.321
SmF3,1,0.138
BiPdPb,8,0.223
