Chemical Formula,Space Group Number,Ed (eV/atom)
LaAu2,2,0.031
RbSn2GePt2,1,0.197
Ti2Fe3As2,8,0.362
Y2Si5Ni7,8,0.288
Li2Ag2Au2OF,1,0.23
Ag2IBr,1,0.134
CdI2,1,0.105
Te4Mo2W2Se3,1,0.258
Li2PtPb,216,0.009
Eu2MnAl2,8,0.182
Hf4MoC3,107,0.094
Ti2CrSe4,8,0.242
NiSn3,8,0.251
HoTmRu2,225,-0.007
S,2,0.019
BaPrCNO,99,0.405
MoPdRuSe4Br5,1,0.072
YSb2S2IO2,1,0.188
BiO,1,0.163
Si3Pt3Rh2,8,0.176
K2CuF6,38,0.002
LiTm4LuO8,1,0.136
AlB2Pd9,1,0.035
Nb2AlGa3Co2,6,0.21
LaPr3Al4O12,1,0.115
Ba3TaO6,5,0.16
AlO2,12,0.32
CeBiO2,99,0.258
Tb7Ga8NiAuC,1,0.468
Lu2AlCu2Sn,6,0.208
EuZnBi2PbO7,1,0.147
KRuO4,1,0.01
SmTm,1,0.058
SmSi6Pd5,6,0.304
CeSm6Mg,187,0.139
Cs2NdCl5,1,0.089
BaCdSb,8,0.12
NaAgO,1,0.334
Li4FeH3NCl,6,0.265
LiAl2Cu,216,0.174
WSe,11,0.427
SrY2CuO6,35,0.191
Na2YClF4,6,0.157
YSi2,63,0.093
Li2AlRh,47,0.17
FeCuP2Pd4Ru,160,0.331
Rb2BiO3,8,0.216
CaSn3Hg2,6,0.189
TaCrRu2,8,0.148
Sr,1,0.051
TbSnPd2,225,-0.024
Sr3Eu,25,0.054
CuPtO4,8,0.108
Rb5IO6,1,-0.005
NdCoGe3,107,-0.04
Li2ZnAg,225,0.093
BaSr4I11,1,0.06
Ni2MoP,1,0.565
ScFeP2,6,0.573
Sm4MgAl6Ga,6,0.231
La2I4Br,8,0.261
EuSeS2,25,0.235
MgBi2,8,0.075
SmScAlB12,1,0.184
K3Hg5,1,0.128
Pr13Ir2,1,0.072
BiPbF6,1,0.252
RbMnCl3,6,0.072
MgBRh,129,0.175
Gd2Sb,12,0.167
TiNbB4,47,0.003
Bi3ClO3,8,0.318
Cs3Ag2GeTe5,1,0.183
VRh3,221,0.015
Cs4LiHBr3F,1,0.142
Mo2WS6,1,-0.034
CsCdHg2I5,1,0.262
Sr2B2C3,1,0.095
Si7Mo11,6,0.133
LiAu,5,0.022
CsKCeF6,8,0.037
KTlHgCl3,8,0.212
Ca2Eu2TlPb,6,0.101
CdCo5,123,0.258
Na3Sn2S5,8,0.069
As2Pd3Pb,1,0.106
BIrPd5,1,0.157
Nb5B8Ru3,6,0.305
InAgPd2,166,0.075
PrP2O7,1,0.127
TmHg2,2,0.129
HgTeCl6,1,0.371
Te3MoWSeS2,1,0.028
CoSbPbS5,1,0.166
LaCuO2,8,0.362
Ca3Al5Ni4,187,0.284
TmH9,1,0.153
Tb2Si2Ag3S,1,0.347
Tb2Si3,2,0.105
TbNiH4,6,0.109
Pr2Br2O,5,0.222
LiAgS,1,0.102
SrEu2BiO6F,1,0.066
Dy4Ni2Pb5,6,0.272
Tb5NiBiP2S,160,0.265
Ba2HO2,2,0.196
Rb2RhF5,5,0.166
Er6MgGaSi,6,0.197
Sr2Li5N3,1,0.088
K2NdTeO6,123,0.095
ScO,1,0.279
SrCd3Ga2,8,0.226
AlAgF4,1,0.101
YCu4O7,1,0.261
Fe2BS2,1,0.344
LiMn2F7,1,0.1
Li2CePb,216,0.14
TaCrRe,8,0.12
Nd3Rh,6,0.12
Ca5Sc2TaO12,1,0.195
AlBO4,1,0.474
Ho4In5PdAu2,6,0.171
SrCeO3,8,0.105
CaBP,187,0.45
InCu3O2,1,0.555
Sc2Ge3Ir4,1,0.446
TeSe3,1,0.007
Na3Sb,8,0.016
Ti2Nb2Al9Ni5,6,0.232
TaTi6S,8,0.386
Ti2O3,8,0.171
Dy4Cl2O5,1,0.054
Tm3Ru2Pb2C,1,0.271
KPrCl3,8,0.127
TlZnAg2,2,0.311
TbDyMnAl2Ag,156,0.282
Li2VF6,1,0.021
B2Pd6Pt,1,0.028
Dy4AlRu5,1,0.257
Li2SnGeS4,1,0.09
NaSr3Sb2,164,0.108
Er4NiSe7,8,0.208
Pb2O7,1,0.567
Ca2Mg4GeAs5,1,0.313
ZrMnN2,38,0.052
Te3Ir,1,0.081
La3Y,221,0.054
Co3Se4,6,0.062
LiYS2,1,0.135
Mg,63,0.098
BaSrAs2,6,0.298
BaC2O5,1,0.12
Mn2BePd,216,0.281
Cs4EuSBr4,1,0.125
CePd5,8,0.055
MnZnCu2,71,0.32
Co5Si,65,0.129
Cs2MgTl2F7,1,0.22
SrAsPd,99,0.176
LaO2,137,0.133
InPd4,63,0.013
SrHg2,63,0.124
MoWSeS2,1,0.329
DyTl,123,0.09
CeNd2MgCu2,115,0.266
Mg5Pb2,6,0.156
PrHg3,123,0.148
BaNdO2,166,0.092
ZnGaN2,115,0.323
LaZn3,8,0.206
Sm5ErS10,1,0.097
BaCuF5,12,-0.067
NdHoSeO2,99,0.047
ErFeGe6,1,0.3
Ce2AlSi2Ge,25,0.013
SmGa3,194,-0.034
In2Rh,140,0.168
NiBi,63,0.226
GdTeH,38,-0.124
CaIn5,1,0.18
AlCuPdSI8,1,0.024
NaB3,6,0.21
CsNaBr3,1,0.154
Al3NiBRh3,99,0.354
Mg4Hg,12,0.161
CoO2,2,0.007
NdHg3,2,0.129
Na2PtBr4,6,0.1
Pr2Ge5Ir4,8,0.245
InGaSe3,8,0.091
Cs2InAgF8,2,-0.055
CdHg3BrCl5,1,0.121
EuAuO3,221,0.325
In2BiSe4,3,0.133
CsBa3ZnIn2,8,0.245
Cs4S6Br,1,0.074
PrHoAl3,47,0.147
TeMo2W2Se4S3,1,0.632
Ta7C4S5,1,0.435
KCaCl3,8,0.071
LiAlO2,8,0.008
LiErPt2,225,-0.014
Pr3Al4ZnCdSn,8,0.212
Sr6Sn9Bi,6,0.213
ReCl3,1,0.247
BaBO3,1,0.064
CuS,11,0.298
HgAu3,166,0.149
Ca2H3,6,0.084
CeZn3As2,156,0.295
K3GeTe4,6,0.139
Er2Ga7,4,0.193
NaTlPb2,160,0.11
SbPt3,123,0.149
LiDyBi2,8,0.196
CeSe2,6,0.553
Er3PbI10,1,0.134
Cs2KLiCl6,1,0.083
CsYErAg2BrO6,1,0.172
LiAg2Ge,225,-0.018
LiMnF4,2,0.069
Ba2InRhO4,1,0.29
MgTl,8,0.115
CaHo4O6,1,0.192
Sm4P5Se,1,0.191
LiAgPtF6,1,0.113
LiNd6O9,8,0.111
Dy2CuGe3,25,0.191
PrEr3In2NiBi,6,0.472
ReSb2SCl5,1,0.353
TmAgSn2,25,0.25
BaBr2,8,0.051
AgAsAuF6,1,0.328
Be3Co,139,0.049
SrAuO2,6,0.159
CuAgHgAuO4,2,0.117
Si3Ru2W,6,0.258
AgSeO4,1,-0.001
LaCd3,225,-0.007
ZrAu5,164,0.135
LiPr3MnI5,1,0.214
Ca2HoN2O,156,0.212
TiAl4V5Cr2,6,0.156
Ni3SnP4,1,0.392
Hg2O,1,0.19
La4GaAs7,1,0.193
Li3Hg,225,-0.093
Cu3ClO4,1,0.294
ErInPt2,6,0.135
Hg5I5O2,1,0.155
CrS2,11,0.016
V5Si4Ni4Ge,6,0.36
KLu7O10,1,0.294
ReO3,1,0.235
Er2BiAs2O,8,0.383
Li2Lu4Ge3Te,1,0.313
TlCl2,67,0.29
Eu2Cu3Ge,187,0.182
MnBr2,58,0.129
BH3,1,0.0
ReIrOsO7,1,0.396
Li2CaHg,8,0.113
Cs3PbI4,1,0.182
