Chemical Formula,Space Group Number,Ed (eV/atom)
CoPdF4,13,0.078
BeCrO2,15,0.172
MgCoCl4,3,0.204
NaRh5Se8,12,0.583
NdTeI,216,0.939
Zn2SO,15,0.249
LuSbTe4,2,0.194
TlWCl4,13,0.204
TbVAs2,225,0.696
LiSnAs,216,0.222
KSmS2,15,0.479
NdSI,216,0.088
Sb2TePd,2,0.416
BeHgS2,15,0.224
Ba2SbBr,123,0.406
NaTaAs2,225,0.547
NdCuH4,13,0.133
SmTe4Os,13,0.293
ScCoAs2,225,0.884
CaPtF4,13,0.241
InClF2,10,0.265
Mg5TeS8,12,0.258
MgPdSe2,65,0.125
CaHI,216,0.886
YI2F,10,0.255
Sm2PI,225,0.233
DyHI4,14,0.314
TmCdSe2,2,0.222
RbAuF2,164,0.210
LiGeP,216,0.488
BaPbCl4,13,0.177
ScHBr4,1,0.300
TmScN2,15,0.279
MnPtCl4,13,0.230
CsTlTe2,15,0.549
Cu2IBr,10,0.343
KTiTe2,15,0.240
PrNbAs2,225,0.210
CdMoSe4,13,0.285
EuMnP2,225,0.607
MnSnBr4,13,0.090
YAgBr4,13,0.133
PrHI2,15,0.273
HoHCl4,1,-0.003
LaSeBr,216,0.614
RuPbF4,13,0.262
KAlTe2,12,0.142
TmPtF4,13,0.051
TaGaSe4,13,0.009
RbCoTe2,15,0.261
LiDySe2,10,0.642
CaReCl4,13,0.693
BaHgSb,216,0.167
BaSeO4,50,0.062
CsVO2,225,0.774
TaReTe4,13,0.288
Cd2IN,15,0.055
YbGeSb2,225,0.178
BaHgCl4,13,0.052
YbAgP,216,0.551
MoPSe4,13,0.068
LiMnO2,12,0.342
TeSF4,13,0.715
ZnNiH4,13,0.111
ZnSb2Pd,164,0.066
NiSnBr4,13,0.147
PrH2F,15,0.086
TlAgCl2,164,0.089
SiTeS4,13,-0.043
VSBr,160,-0.028
SmGeO2,225,0.102
ErTiN2,15,0.091
InTeF,216,0.379
Eu2AsBr,12,0.513
NdVSb2,225,0.361
SrCuS2,10,0.210
LiOsS2,10,0.401
NaRhBr4,14,0.126
LaBr2F,2,0.084
NbS2F,15,0.260
CaZrSb2,225,0.351
CsLiF2,225,0.134
CaTmCl4,13,0.517
YbPdS2,65,0.121
CsBiO2,15,0.209
ErAgH4,13,0.223
MoClO,216,0.164
ZnGeO2,10,0.179
CdNiS2,164,0.076
PrErAs2,225,0.114
TaNbTe4,13,0.368
VCoAs2,10,0.108
MnTlS2,15,0.250
HoTeF,216,0.145
RbAgBr2,164,0.073
NdOF,216,0.054
KVI4,13,0.386
TiFeP2,225,-0.024
VSnCl4,13,0.349
HoCoP2,164,0.175
RbYbP,216,0.591
CoICl,216,0.440
CaZrN2,164,0.246
TiI2F,225,0.743
BaSrCl4,14,0.150
KBi5S8,12,0.078
LuH2Cl,10,0.037
BaMgSe2,225,0.494
LuBr2F,164,0.015
TbAs2Pd,164,0.155
NaSbF4,13,0.588
RbCoF4,13,0.230
RbLiCl2,13,0.135
ScTaSe4,13,0.164
ZnPbS2,10,0.715
YTaO4,13,0.474
CsDyS2,10,0.242
NaMoBr4,13,0.072
VWBr4,13,0.103
SmGeSb2,225,0.401
CaTl8Te5,2,0.143
K2HF,15,0.127
YbMgBr4,13,0.584
Tm2SbP,225,0.333
PrAs2Rh,225,0.349
Te4PdPb,13,0.088
LiDyH4,13,0.005
NdAs2Ru,225,0.129
CsHoH4,13,0.839
KAuCl2,12,0.128
TbTlSb2,225,0.333
TlAsI4,13,0.181
LiYS2,15,-0.054
YbMnF4,13,-0.036
VTe4Au,13,0.229
LuHgO2,164,0.159
ScTlTe2,15,0.099
MnPO4,13,0.486
HfOF2,1,0.114
SmGaAs2,225,0.365
TbTeF2,225,0.198
KSmI4,13,0.291
CrCdTe2,164,0.269
TmHfAs2,225,0.588
BeCuO2,2,0.128
SrFeSe2,164,0.028
SrSmF4,13,0.184
BaP2Rh,225,0.108
LiPRh,216,0.175
ErHI2,2,0.773
Na8ZnSe5,12,0.418
KEr5Te8,12,0.067
YH2Cl,1,0.129
CdHgI4,13,0.097
YbEuF4,13,0.509
SmTe2Pb,12,0.135
TiFeO2,15,0.055
ErLuSb2,225,0.366
ScTlSb2,225,0.349
Rb8CdSe5,8,0.134
InAgBr4,13,0.106
NaAuCl2,10,0.014
BeCdBr4,13,0.055
NbTe2F,15,0.435
TmLuSb2,225,0.097
TmRuO2,164,0.202
Tm2TeS,15,0.027
RbAuS2,15,0.011
TiAuS2,166,0.095
MoICl,216,0.006
LiAuBr2,10,0.036
NdCrP2,225,0.774
H2RhF,15,0.122
SmCrN2,164,0.150
ZnCdO2,1,0.236
SrCoBr4,13,0.108
Rb8OsO5,12,0.099
YFeAs2,225,0.743
TmHBr,216,0.032
CuPbCl4,13,0.267
TmCrI4,13,0.369
CaBeSe2,164,0.123
CeSeF,216,0.896
TlAuBr2,164,0.483
NaNdI4,13,0.618
CaCeSb2,225,0.110
LiBiS2,15,0.205
YbHgN,216,0.202
SmMgI4,13,0.337
BiSbBr2,47,0.041
NiOsCl4,13,0.322
YI2Cl,10,0.505
TaHO2,164,0.696
InTe4W,13,0.403
LuCrP2,225,0.161
NbAuCl4,13,0.252
NaGdF4,13,0.223
MgTiO2,164,0.011
TlHgCl2,225,-0.081
CsEuCl4,13,0.225
MoAuS2,12,0.262
RePbS4,13,0.156
Tb5TlSe8,12,0.402
MnCuSe2,10,0.180
MgZnS2,10,0.719
TmPdS2,65,0.294
TmSbTe4,13,0.128
TbMnTe4,13,0.213
SnMoSe4,13,0.099
AsWS4,13,0.174
Na5BiBr8,12,0.181
ErHI4,2,0.208
CePtN2,10,0.104
CeZrSi2,225,0.262
LiBiO2,15,0.114
VPbBr4,13,0.103
LiTlF2,15,0.102
AgSbI4,13,0.395
TbIO,216,0.051
SrIBr,216,0.099
Ca2TeO,164,0.479
BaHgP,216,0.483
EuSb2Au,12,0.097
MgPbS2,12,0.064
CsTlBr2,225,0.269
CaEuO2,164,0.382
EuH4W,13,0.036
Cs2HBr,15,0.099
ErAs2Ru,225,0.142
Y2SbN,225,0.241
RbYS2,15,0.111
RbAuO,216,0.884
SbPb2F,225,0.258
Tl8GeTe5,2,0.210
ErAsO4,13,0.267
CeNiSb2,139,0.268
CrHg8Te5,12,0.145
BaGeBr4,13,0.385
MnClF,216,0.101
YbFeBr4,13,0.190
MgNiBr4,13,0.175
LaGdN2,164,0.069
ErTlTe2,164,0.068
MgBeSe2,15,0.502
TmSiNi,216,0.238
NaMoF4,13,-0.043
DyHF4,13,0.108
CdPdSe2,10,0.230
VI2Cl,15,-0.003
SnTe2Pt,10,0.281
FeRhSe2,164,0.078
CsTlI2,15,0.099
TbHgBr4,13,0.121
MnFeF4,13,0.084
TmH2I,164,-0.003
SmCdI4,13,0.386
TiVSi2,164,0.133
GePbF4,13,0.156
EuMnTe2,164,-0.024
VGeSe4,13,0.279
AsPF2,164,0.365
CeSnN2,164,0.068
ZnPbS2,225,0.715
InHBr4,2,0.058
CrHS,216,0.105
VBr2N,15,-0.036
ScCuH4,14,0.128
Li4SeO,14,0.068
SmCuO2,10,0.312
BeRuSe4,14,0.097
FeCuBr4,14,0.504
TiSiRu,216,0.095
TmSiSb2,225,0.583
TlAgF2,2,0.155
MnSnF4,13,0.126
YbInAs2,225,0.719
NaP5Se8,12,0.130
RbAlO2,15,0.058
RbTe2P,15,0.125
Si5CS8,1,0.342
GdHF4,13,0.579
AsBrCl4,1,0.715
NdAlAs2,225,0.621
Na8PCl5,12,0.114
MoHCl,216,0.487
HoSb2W,225,0.175
TmIrI4,13,0.084
TmOsS2,164,0.474
DySI,216,0.386
VBr4F,1,0.108
CdSnSb2,225,0.255
DyPN2,2,0.300
TmTe2Pd,10,0.322
DyCl2F,10,0.180
TiMoS4,13,0.086
KIn5S8,12,0.424
ScTaTe4,13,0.463
SmFeBr4,13,0.255
CeSmP2,225,0.095
TmRhCl4,13,0.340
RbMnTe2,15,0.044
LiReBr3,167,0.583
YbTe4As,13,0.886
RbGaF4,13,0.088
TiVF4,13,0.181
CdPbF4,13,0.167
RbAuSe2,15,0.137
SmVO4,125,0.365
PbSeF2,164,0.058
CdSnI4,13,0.340
CsMnF4,13,0.642
TmCl2F,10,-0.007
CaGeBr4,13,0.051
MgTe2Pt,10,0.078
Ir5CO8,12,0.474
CaYbH4,13,0.051
VSbCl2,47,0.174
CaSb2Ru,225,0.108
TbBiS4,13,0.150
YAuO2,10,0.241
MgPbF4,13,0.158
TlAgI2,10,0.068
RbHgH2,15,0.338
DyHS2,1,0.210
TmI2F,225,0.035
CsSmBr4,13,0.588
YbBrCl2,10,0.269
Si5CO8,12,0.127
ErH2Cl,10,-0.043
KCuCl2,15,0.097
HgPdS2,10,0.133
CdRuBr4,13,0.051
TmMoI4,13,0.584
MnNiS2,2,0.134
VWCl4,13,0.011
VCdCl4,13,0.097
YbAs2Au,164,0.091
RbAgI2,164,0.279
TmAlN2,15,0.886
NiPtF4,13,0.154
CaAgSb,216,0.579
DyAlN2,10,0.368
ErAuO2,12,0.181
DyCrN2,164,0.505
DyHBr4,14,-0.009
NiTe2Pt,15,0.361
TaSbSe4,13,0.142
LuP2Os,225,0.349
AlHF4,13,0.097
BaTiCl4,13,0.128
AgAuF4,13,0.349
RbTi5S8,12,0.091
YbCdI4,13,0.111
ZnGeCl4,13,0.091
CaIrSe2,164,0.386
DyVP2,225,0.424
TmPdN2,15,0.265
CeAgSe2,12,0.101
TmWI4,13,0.132
AsCl2F,225,0.632
CoP2Rh,10,0.255
AsI4F,13,0.223
YHgF4,3,0.123
HfZrS4,13,0.312
YBr2Cl,10,0.591
