Chemical Formula,Space Group Number,Ed (eV/atom)
CaAcAu2,12,0.095
Li2CaSi,160,0.376
Sc2ZnRu,8,-0.120
K2PtBr6,1,0.079
Cs2TcF6,1,0.477
V2ReRu,1,0.000
NdAlO3,2,0.000
PmF3,1,0.215
LuBi,12,0.000
Rb5P3Pd2,1,0.057
GdDy3Ni4,1,0.411
Sm3I,1,0.282
AlPt3,1,0.387
AlOs,1,0.099
CoB,62,0.036
Li2AcSn,1,0.000
CrIr3,1,0.004
BaSbPt,1,0.028
NdMg2Al,1,0.000
PrIr5,1,0.028
HoTaRu2,225,-0.056
SiIr3,1,0.337
La3InC,1,0.000
MnN,1,0.032
Ni2Mo,1,0.036
PrLuTl2,1,-0.054
Tc3N2,1,0.000
TmTlS2,5,0.261
SmHg2H,1,0.375
PmCdAg2,2,0.050
Ta3Ru2,1,-0.064
DyNi,1,0.079
SbOsS,1,0.000
VCo3,1,-0.139
Na2H2Pd,2,-0.016
VTc,1,-0.080
HfAlCu2,5,0.107
AcEuZn2,12,0.099
TiSiTc2,225,0.016
Ca2TlZn,1,0.036
Cs2InHBr6,1,0.158
PuS2,1,0.000
Cu3HS4,1,0.029
Ba3Li4Bi3,1,0.387
LaZn,1,-0.010
HoFe3C,1,0.723
YAl7Cu5,1,-0.016
Cs2NaInF6,1,0.036
PtSe2,2,0.000
NpPt3,1,0.032
HfGeTe,2,0.057
Cs2LuAgCl6,1,0.028
LuAu,123,0.074
CeBiAu2,12,0.028
Co6HW2,1,0.000
Sc2Sb,11,0.028
RbSrCl3,1,0.032
Ba3(LiBi)4,1,0.079
Cs2RbGaF6,1,0.028
NdTlTe2,8,-0.064
Ni2Mo2P3,1,0.128
PrInPt4,1,0.000
Ca2N,2,0.261
NaPt3,1,0.023
CeIr4,1,0.000
CrSiRu2,1,0.094
TaC,1,0.000
Ni2B3,1,0.000
PaSb2,1,0.029
NaYSe2,1,0.000
Ta2CrOs,1,0.000
SmGaPd,2,0.128
ScBe5,1,0.095
NaHAu2,1,0.471
TiAg,11,0.029
Y3SnC,221,0.032
HfGa3,107,0.000
DyCo5,1,0.000
NaPrAu2,1,0.000
Co5Mo3P4,1,0.028
NaCdSb,1,0.215
Mn2B4Mo,1,0.411
CaMg3,12,0.000
AlFe2,1,-0.101
Rb2TeBr6,1,0.180
GaCl3,1,0.215
Ac2ZnIn,1,0.000
Pm2NiRu,1,0.112
GdCd,47,0.075
VSiRu2,1,0.337
HfP,1,0.477
MgScCd2,2,0.235
Zn2CuRh,8,0.050
Lu2MgIn,5,0.196
Rh3Se8,1,0.477
RbSiCl3,1,0.000
TcO2,1,0.000
NbC,1,-0.073
Ta3N,1,0.016
HC,1,-0.016
V(CrC)2,1,0.107
Ba2DyPaO6,1,-0.120
FeF2,2,0.004
CdPd2Au,5,0.036
Cr,2,0.094
NdHoTl2,42,0.036
Rb2LiMoF6,1,0.000
FeB5,1,0.023
LiBeAs,2,-0.139
NiF3,1,0.000
ScInPt2,2,0.050
MnV2Cr,1,0.042
Tc2Pd,1,0.160
Cs2GeCl6,1,-0.016
LiN,1,0.235
SrFe2W,1,0.028
BaBi3,6,0.099
Al2ZnS4,1,0.000
Co3W,1,0.111
Sr2UCu2S5,1,0.471
MoP2H,1,0.166
GaH,1,0.376
InBrO,1,0.024
Rb2P2Pd,1,0.000
FePt3,1,0.016
EuGe3Pt,1,0.000
TmTl3,1,0.079
Dy(PRu)2,1,0.036
Gd(PRu)2,1,-0.002
NiBr2,2,0.032
Ta2C,1,0.000
CoMoP,1,0.576
Tb(PRu)2,1,0.058
SiTc2W,1,0.095
VB2,1,0.166
Cs2TiO3,2,0.261
Na4Sn(GeS3)2,1,0.000
SmTlAu2,8,0.032
SbTe2,1,-0.073
Nb4C3,1,0.160
FeCo3,1,0.387
Th2CuSi3,1,0.006
PmSmMg2,225,0.128
SmGdHg2,1,-0.010
Li2TlAu,1,0.261
Ba2PaHO6,1,0.058
Eu(GePt)2,1,0.128
Tc3Pd,1,0.215
Na2ZnSe2,1,0.036
TiPt3,1,0.387
ErCu2,12,0.107
TbZnNi,1,0.180
LiLuAu2,1,0.088
Zr2CS,36,0.576
SrN2,2,-0.016
UHO3,1,0.050
Eu,2,0.099
Ba2SmSbO6,1,0.000
Lu3TlC,38,0.006
Ga3HPd,1,0.235
Rb2LiHF6,1,0.158
GeRh2,1,0.000
In,2,-0.010
TbDyIr2,69,0.048
La2MgAl,1,0.085
P2HRu2,1,0.032
Mn3Ir,1,0.004
TiCo3,1,0.061
V2ReOs,1,0.477
Cs2KAsF6,1,0.477
Cs2TeCl6,1,0.000
HSe2,1,0.266
Rb2ZnAsF6,1,0.196
Th2CN2,2,0.215
K2O,1,0.028
ZnSe,216,0.099
PaHO4,1,-0.064
ScSnPd2,8,0.477
ZrB11,1,0.412
HoHg2H,1,0.180
TiPt4,1,0.411
MnF2,7,0.090
PrBPt4,1,0.411
SrBiClO2,1,0.048
ScInNi2,8,-0.098
Rb2CrHF6,1,0.029
Ca2PI,8,0.412
MgAlF6,1,0.471
CoBr2,1,0.024
AlVTc2,1,0.477
Ba2MgTl,1,-0.071
CaSmZn2,1,0.387
Be5Pd,216,0.095
Cs2TiCl6,1,0.006
Tl3FeF6,1,0.000
TbCoC,26,0.128
NaAcAu2,2,0.337
PaO2,12,-0.056
Rb3CrF6,1,0.088
LuCuPbS3,1,0.000
Al4O7,1,0.412
Ac2MgSn,42,0.000
Lu2AgRu,160,0.000
LaMgCu,1,0.016
ScIn,6,0.050
PdPtF6,1,0.042
HoCu4Au,1,0.215
BiHAu2,1,0.261
NbB,63,0.253
MgAlH2,1,0.000
Cs2NaBr7,1,0.111
EuMg,1,0.079
NiMoP2,1,0.029
BaAlGe,1,0.000
Sc2BC,1,0.095
CeIr5,1,0.111
HoZnRh,1,-0.073
Ni2Rh,1,0.088
Er2AgRu,8,0.128
Rb3P5Pd2,1,0.032
MgMnF6,1,0.032
Gd2Ga3,1,0.111
GdGa,1,0.000
RbAg3Te2,1,0.095
CsRuF6,1,0.000
Cs2AlTlF6,1,-0.002
Ir,1,0.000
HIr5,1,0.028
Tm2CdIn,8,0.141
GeO2,58,0.006
Gd3Al,1,0.381
NaAg2,1,0.074
Ni2(MoP)3,1,0.000
Mn2AlRe,225,0.471
Mn3Zn2O8,1,0.028
B2H,1,-0.002
TiHg,2,0.215
Tb2CdCu2,6,0.050
Ta3N2,1,0.387
ErCo5,1,0.387
TePt,4,0.180
LiScHg2,8,0.079
Sc2BC2,139,0.094
ZrNi2Sb,8,0.235
Tl2GaHF6,1,0.095
ErPb3,6,0.723
LaIn3,5,0.042
SmMgAu2,8,0.000
PHPt,1,0.471
LiGaRh2,2,0.000
ZrSO,1,0.477
TbInRh2,5,0.079
SmMg3,1,0.057
YInPt4,1,0.000
Na4Zn2Se5,1,0.196
Ta2VOs,1,0.079
HoS,8,0.471
Ir4Se7,1,0.215
AcInTe2,8,0.141
Ni3(PbS)2,1,0.000
Rb2NaScCl6,1,0.000
Lu2IrRh,2,0.028
KRuF6,1,0.337
Ca3Sn,1,0.057
Cs2InGaF6,1,0.411
LaInPt4,1,0.000
Be,1,0.016
Sm2BiO2,8,0.029
CuPt,123,-0.095
Al2IrOs,1,0.000
KRb2MoF6,1,0.028
CaNdAg2,1,0.000
SnRh2,1,0.029
Cs2NaInBr6,1,0.016
Ta2B,1,0.196
BaAg5,1,0.000
Ni2MoP4,1,0.111
Cs2NaAsF6,1,0.000
Tc3N,1,-0.016
DyInNi,6,0.006
Na4SnGe2,1,0.128
LaRu3,1,0.000
HIr3,1,0.477
ZrB12,1,0.029
NbZn,47,-0.073
DyMgCu,1,0.000
Zr4C2S3,1,0.141
Nd2MgTl,107,0.079
FeB,63,0.215
TaC2,1,-0.016
Tc,1,0.477
Rb2TlAgF6,1,0.032
Tl2InHF6,1,0.032
CaBPt4,1,0.000
Zr2NiP,1,0.088
ErSn2,4,0.261
LiAsF6,1,0.006
BeSiIr2,1,0.004
Ta,2,0.000
Ba4As2O,1,0.111
ScAl,123,0.050
ThAlCo,1,0.029
ErPaO4,115,0.000
Co5H,1,0.075
Rb2LiAsF6,1,0.723
TaCu3Se3S,8,0.387
LaAg,25,0.000
SmGa,2,-0.016
CsTeAu,1,0.112
,,
