Chemical Formula,Space Group Number,Ed (eV/atom)
AlBr3,14,0.257
K3NaCdCl6,167,0.007
LiNdSe2,166,-0.006
BaSm2MgO5,62,0.040
K3NaMgCl6,167,0.299
ZrSe2,14,0.125
MnCuS2,160,0.133
NaSr2Cl5,58,0.231
SiS2,227,0.133
NiS,194,0.440
Li4Ga3Si3IO12,218,-0.016
CaSc2O4,62,0.032
AlVO3,221,0.709
Tl3AsO4,31,0.176
KNa2ScF6,225,0.108
Bi2OF2,123,0.924
RbCoSe2,15,0.043
K3Lu2Br9,176,-0.030
LiSn2Cl5,58,0.121
TaInO4,12,0.128
YAlO3,221,0.000
TiBiSe3,160,0.154
CsCaPO4,62,0.137
NaCd2Cl5,58,0.109
Sn3N4,62,0.257
TiSe2,60,0.160
AlPSe4,1,0.430
MnTlSe2,119,0.170
Li2PbO2,15,0.123
SnO2,139,0.215
MnNbO4,13,0.100
DyScO3,185,0.044
P2O,70,0.788
LiMgF3,12,0.145
TiSe2,61,0.160
NaCoO2,11,0.125
K2PHO4,4,0.021
NaMg2Cl5,58,0.170
Li2PdF4,13,0.023
FeHO2,8,0.100
RuO2,14,0.254
LiMgF3,167,0.145
Mg2SiO4,62,0.119
VSnF6,225,-0.031
K2SnF6,189,0.073
Al2Se3,164,0.155
CaH2I2O7,15,0.025
InAsO3,14,0.125
PI,2,0.216
CaS,14,0.000
Ba5Y8Mn4O21,87,0.004
ZrS2,141,0.077
Ta2CuO6,136,0.061
Cs2SeO4,62,0.028
Na3AsO4,31,-0.145
K2SrBr4,166,0.067
FeNiSe2,8,0.386
Cu3PS4,31,-0.070
LiRhO2,14,0.032
MgBr2,72,0.445
Ti3N4,62,0.105
TaGaO4,12,0.089
Li3PO4,31,0.114
Na2PHS4,4,0.015
CoBr2,72,0.016
HfMnF6,225,-0.072
CdPbS2,166,0.079
CsAlF4,123,-0.156
K2TiF6,189,0.324
LiScSnO4,74,0.216
CsMnF3,167,0.118
TiHO2,8,0.316
MoF3,14,0.469
ZnO,57,0.091
ZrP2O7,205,-0.093
K3AsO4,31,-0.059
CrBiSe3,160,0.140
LiCoF3,62,0.059
K3In2Br9,176,0.054
Cu3SiSe4,121,0.008
AlMoO3,166,0.388
MnSe,62,0.108
Ba2NdRuO6,14,-0.057
RbHgF3,194,0.123
IrO3,14,0.315
CdBr2,72,0.091
ZrNCl,59,-0.059
Na4Sc2O5,14,0.093
Sc2O3,115,0.108
MnTl2F4,139,0.136
NaMnF3,62,0.524
K2TbF6,189,0.123
K2SrI4,166,0.089
Ru3N4,176,0.307
SiO2,166,0.246
K3ScV2O8,164,0.155
ZnO,160,0.091
ZnSe,156,0.078
H2PbI2O7,15,0.033
ZrS2,227,0.077
ZrSe2,141,0.125
K3CrCl6,14,0.002
SiP2O7,205,0.031
NdSbO4,33,0.021
DyAlO3,185,0.157
Ag3PSe4,31,-0.014
ZnBr2,72,0.110
Na4Al3Ge3ClO12,218,-0.024
RuO2,12,0.254
ZrO2,60,-0.062
Rb3YV2O8,164,-0.030
LiZnF3,12,0.137
SeS2,227,0.293
NaFeO2,9,0.059
K2ZrF6,189,0.084
V2O3,115,0.049
AlInO3,221,0.468
ScInO3,185,0.172
CrS,194,0.125
K2SeF6,189,-0.049
Ti7AlO12,204,0.326
WN2,71,0.215
RbScO2,15,0.137
Rb2PbO3,62,0.096
Cs2WBr6,139,-0.049
HfIN,59,-0.114
VO2,60,0.018
CoCl3,148,-0.056
B2O3,164,0.243
LiZnF3,167,0.137
BeS,160,0.197
BiCl3,11,0.059
VO2,61,0.018
BaSnS3,63,0.270
NaNdSe2,166,-0.014
PH3Se4,31,0.082
CrS,156,0.125
RbFeS2,119,0.236
Li2CoF4,13,0.143
RbMnSe2,119,-0.014
Ta2MnO6,136,0.008
LiTiO2,14,0.138
Na2MnP2O7,15,0.156
K3PO4,62,0.239
LaBr3,62,0.058
MoN2,71,-0.007
RbMnSe2,15,-0.014
TiAlO3,221,0.080
NdTlSe2,166,-0.087
MnO2,60,0.095
NaScO2,59,0.059
CrI3,11,0.236
AgIO3,194,0.175
Sc3Se2NO,12,0.089
AlHO2,8,0.045
ZnS,186,0.001
NbGaO4,13,0.396
SiSe2,160,0.323
Na4Al3Si3BrO12,218,-0.027
ZrO2,61,-0.062
CaMn2O4,141,0.054
CdSnS3,11,0.299
RbCaF3,194,0.111
Tb2SnSe5,55,-0.012
BiTeClO3,62,0.012
TiZn2O4,62,0.009
Rh3N4,176,0.177
NiS,194,0.440
ZrO2,60,-0.062
LiSiBH2O5,33,0.103
GaCl3,14,0.096
CoPO4,82,0.161
TiTlS2,119,0.134
MnO2,61,0.048
MoO2,61,0.001
Cr2O5,59,0.110
MgS,156,0.396
TiV2O6,12,0.348
NdCoO3,2,0.036
NaMgF3,14,0.115
Cr2CdO5,63,0.000
TlCrS2,164,0.080
TeO3,182,0.100
CsMgPO4,62,0.130
ScI3,11,0.021
LiFeS2,119,0.345
BaLiBO3,14,-0.047
LiAlSnO4,74,0.102
LiYO2,14,-0.036
ScCl3,148,-0.072
VSe,62,0.445
TlVS2,119,-0.006
CrCl3,148,0.309
La2ZrS3O2,62,0.156
ZrS2,61,0.077
BiF3,11,0.082
Si3N4,176,0.635
Li2CuF4,12,0.019
Tl2CoF4,139,0.023
CsVSe2,119,0.088
Ca2GeS4,62,0.160
RbScSe2,15,0.024
ScVO4,63,0.173
Li2TiF4,13,0.026
CsCoPO4,62,0.177
RbTiSe2,15,-0.093
AgF,63,0.161
MgS,186,0.396
CsAlSe2,119,0.150
Li2MnF4,13,0.103
CrPO4,63,0.017
NaScS2,164,0.249
AlCrO3,221,0.025
CsNiPO4,62,0.103
Tl2CdF4,139,0.130
DyGaO3,185,0.025
RuOF2,15,-0.010
CsFeO2,15,0.124
Y2S3,115,0.294
NiS,187,0.440
Ga2Se3,9,-0.077
BaReO4,141,0.015
LiAlO2,14,0.150
BeS,156,0.197
Ta2S5,31,0.212
CaTi2O5,63,0.189
NaZnF3,14,0.118
MnTlF3,62,-0.001
SeO2,61,-0.048
Tl2ZnF4,139,0.098
Cu2PbO2,15,-0.007
AlCuS2,160,0.104
RbH2ClO,63,0.051
ZrBiClO3,62,0.309
RuN2,227,0.511
TiS2,60,0.189
K3NaMnF6,15,0.024
LiFeF3,62,0.096
LiMn2OF3,12,0.080
CuH2ClO,63,-0.046
CoBiSe3,160,0.177
Na2UO4,139,0.025
Ca2SiO4,62,0.112
Li2ZrCl6,162,0.042
Cs3NbS4,217,-0.147
CoCu2SiSe4,82,0.164
Y2Se3,115,0.326
Rb3NaMnCl6,167,0.252
H2Se,36,0.027
RbSb2PO8,15,0.006
Li2CaF4,13,0.109
LaTlSe2,166,0.204
NaAlSiH2O5,33,0.102
Tb2S3,115,0.319
AlF3,14,0.121
As2O3,14,0.060
ZnO,156,0.091
ZnSe,160,0.078
RbAlSe2,15,0.234
PrErS3,63,0.023
TeO2,12,0.360
GeO2,141,0.025
K2UO4,139,0.009
Na4Fe3Si3IO12,218,0.328
Cs3AsO4,31,0.143
La2SiS3O2,62,0.157
CoSe,62,0.388
AlBiSe3,160,0.067
Ba3Ge2O7,139,0.216
Ag2O,19,0.160
Mn2O3,115,0.000
K2NiCl4,33,0.095
Ba5Sm8Co4O21,87,0.055
As2O5,12,0.257
Tl2S,19,0.171
Cu2AgPO4,121,0.234
MgCu2SiSe4,82,0.103
SnO2,12,0.215
La2SnSe3O2,62,0.054
PbS,57,0.072
Tl2MoO4,139,0.010
RbMoSe2,15,0.124
Na4Ga3Ge3IO12,218,0.039
LiI,62,0.134
FePO4,82,0.027
MgSe,62,0.059
Cs2SiO3,64,0.027
Cs2UCl6,225,0.026
Sc2SnS5,55,0.194
Nd2SnS5,55,-0.001
ZrS2,14,0.077
CsSrF3,161,0.000
VBr3,14,0.048
SrPbS2,166,0.010
P2Pb3O8,166,0.015
BaMgSe2,119,0.133
CaZrF6,225,-0.061
DyErO3,185,0.050
Li4Ga2O5,14,0.103
Mn2CrO5,63,0.078
Se,14,0.000
NiSe,62,0.105
H2S,36,0.147
VSe2,14,0.249
TiO2,12,0.000
Ca2B2O5,2,0.015
Ba3Si2O7,139,0.445
TiOF,166,0.239
MoO2,14,0.001
Tl2FeF4,139,0.109
TlSb2PO8,15,-0.002
TlSbS2,15,0.011
CrAgS2,160,0.078
ZrVF6,225,0.420
Rb2TbO3,62,0.073
NaCrSe2,164,0.024
AlTlS2,119,0.114
MoI3,11,0.048
NaMnS2,59,0.009
RhSe2,61,0.054
AlPO4,63,0.107
SrSe,62,0.019
Li2O,62,0.059
Ti2S3,12,-0.032
RhS2,227,-0.085
Rb2SeO3,62,0.360
Se3N4,147,0.183
HfNiF6,225,0.035
CsCoF3,15,0.946
YVO4,63,0.119
BaTlF3,38,0.043
CsSbS2,15,-0.036
MnOF2,2,0.059
AgH2ClO,63,0.635
SiO2,61,0.246
InF3,193,0.524
Bi2O5,63,0.019
K2BaCl4,166,0.078
Li3NbS4,217,0.145
TeN2,122,0.154
NaCdF3,14,0.103
MnPO4,63,0.052
RbNdSe2,166,-0.156
MnBr2,72,0.103
MgTa2O6,136,-0.031
GeCl4,15,0.025
V3N4,176,0.177
GeO2,60,0.025
CaAl2O4,141,0.147
LiCaF3,38,0.469
RuN,131,0.316
MnO2,141,0.054
BaZnSe2,119,-0.053
LiMnF3,12,0.059
MoN2,122,0.155
ZrBrN,59,-0.083
Pr2SnS5,55,-0.006
Ba2DyRuO6,14,-0.093
CsNiF3,160,0.924
CsTiSe2,119,0.109
VS,186,0.360
BaLu2ZnO5,62,0.326
CoS,156,0.396
MnBiSe3,160,0.054
Na2O,62,0.396
AlOF,166,0.252
K2PbF6,189,-0.009
BeCl2,72,-0.048
Rb2ZrO3,62,-0.085
TiCuS2,160,0.173
NdLuS3,63,0.137
Na2SO4,63,0.048
CoO,63,-0.081
Nb2S5,25,0.231
FeBr3,14,-0.032
Ta2CdO6,136,0.042
Ca2ZrS4,62,0.035
Bi2PbS4,62,0.006
CoS,194,0.082
EuTaO4,13,-0.068
TiPO4,63,0.216
Ba2PrRuO6,14,-0.046
Pd3N4,176,0.946
Cs2GeO3,64,0.041
NaSbS2,15,-0.070
K2CoCl4,33,0.036
ScPO4,63,0.050
Ti2O3,115,0.420
NbF5,63,0.088
