Chemical Formula,Space Group Number,Bulk modulus (Gpa)
Al2FeOs,1,169.591
Ni2B,1,115.127
Co,2,242.200
Si,2,391.082
B2Os,1,173.371
MnReO2,164,48.871
Si2PdRu,225,226.271
Ti2GaFe,1,128.129
LiCa5Ge2,1,157.407
BMo,1,168.946
TiTc2W,1,77.733
ZrB12,1,229.216
TaRu,1,114.835
Tc3Pd,1,241.718
Ca2CdO3,213,203.701
Co5Mo3P4,1,42.172
CoTc3,1,115.526
Ta2TcW,1,128.313
Nb5C3,1,182.375
AlAs2Rh,51,124.981
FeN,1,105.159
CrPt3,1,296.655
GaSiRu2,1,221.318
FeC,1,110.299
Tb(BIr2)2,1,65.256
LaCo5,1,194.942
TaSiRh,1,232.274
Co3H,1,120.846
NbMoP2,225,294.747
Re,1,250.267
AlAuO3,14,209.577
SiRh3,1,325.476
AlBN2,15,277.342
CrB,1,103.221
Co2N,1,237.175
ErB2Ir3,1,139.559
TaNbTc2,1,70.916
AsAuO2,1,182.493
LuFe2W,1,274.893
ErPt2,1,262.131
TaRh3,1,196.585
Ta3N,1,240.307
LuVN2,164,264.007
Ta2B3,1,272.532
ThOs2,1,327.090
Mo3Pt,1,296.768
SiO2,1,172.519
TcB2,1,271.537
MnNbN2,164,247.164
IrN2,1,101.121
VFe2Si,1,277.471
Fe2N,1,170.921
SrB2Ir3,1,160.009
MnV,1,312.197
Cr3B4,1,229.043
FeP2Ir,225,47.238
NiB,1,233.835
Be3SiS,14,185.984
ZrH2W,1,222.026
PaO3,1,179.170
SmB2Ir3,1,203.438
TiRe2Tc,1,185.180
MnB2,1,251.090
Ba3PN,63,157.087
PtRh3,1,183.863
HfTaRe2,1,235.967
CoP2Os,225,284.599
AlFe2Si,1,273.316
HoFe3C,1,220.116
Ta4B3,1,431.480
VCr5C4,1,214.817
CoC,1,291.096
MoPt3,1,112.737
Pm(BMo)2,1,199.868
SrFe2W,1,221.318
W2C,1,196.585
HfP2Ru,225,199.868
LuIr2,1,72.263
Nb3B4,1,328.516
VPt,1,219.467
PrBiAu2,1,194.287
Mn2GaW,1,319.962
ZrRu3,1,80.119
Pt3Rh,1,275.277
Tc4N,1,201.463
CoB2W,1,195.634
Ca2GeP2,139,171.502
B4Os3,1,110.299
MnB4,1,271.359
LiCo3B2,1,175.947
HfBeN2,15,415.924
Y(SiRu)2,1,211.855
CoMoP,1,264.007
Co3Cu,1,58.695
Tc3N2,1,124.981
Ta3N4,1,293.793
Re3W,1,221.425
TiReN2,164,335.756
Al2IrOs,1,76.845
Fe2HW,1,211.855
HRu3,1,70.916
Zr2CoOs,1,229.445
TaO2,1,175.947
Fe3SnC,1,229.445
TaN,1,284.599
DyCo5,1,158.654
MoRh,1,237.830
V(CrC)2,1,412.942
V3B5,1,76.845
HfN,1,70.916
ThSnPd2,1,272.703
TiPt8,1,86.582
NiAsSe,1,160.009
HfO2,1,64.542
HfIrN2,164,239.822
Si2TcOs,1,237.175
BaLiPr,1,112.737
CrB4,1,150.023
Si2MoIr,225,82.721
NiP2Ru,225,55.274
LuBO4,1,42.172
NbO,1,110.299
Si2HOs,1,212.646
NbIr3,1,249.222
TaB,1,161.155
Ca3SnO4,223,180.296
Mo3Ir,1,110.299
PIr2,1,81.166
CsTlF3,1,206.043
CeTaRe2,1,130.960
MgBiAu2,1,212.646
TiInFe2,1,110.299
TiMn2,1,229.445
K2Bi3,1,124.981
BiO2,1,76.845
BiSbO3,166,193.923
Cr2C,1,271.092
CaN,1,201.463
B2SbAs,139,208.030
TaMoN,1,42.172
Fe2Si,1,321.115
VC,1,76.845
TiOs,1,191.777
V2Cr,1,209.577
CoSiRh,216,177.565
Co6HW2,1,119.004
TcB,1,197.573
TaRu3,1,167.046
NbB2,1,150.023
NbP2Ru,225,273.686
TaTiRe2,1,42.172
V3Re,1,197.573
TiCrC2,164,117.829
FeB5,1,237.830
TiAu,1,293.793
Ba3OsN4,223,191.777
TaFeP,1,225.752
VRu,1,30.305
RuN2,1,175.947
VSiTc2,1,138.973
V3B2,1,189.920
Ta2FeOs,1,389.087
ScMnN2,164,197.573
MgTaN2,1,191.777
VRh3,1,233.490
FeB2Mo,1,57.550
AlCr3B5,1,239.822
HoB2Os3,1,177.565
TcRu3,1,206.043
Tc3N,1,244.951
Ir3Rh,1,240.307
FeRe2,1,72.263
Co5H,1,160.009
V2TcOs,1,145.467
Ti3Pt5,1,273.822
MgMoN2,164,299.520
ThB2Ir3,1,214.817
FeP2Ru,10,90.059
VCu3,1,277.471
Ag2H4W,8,197.010
TaRe2,1,57.550
TiSiN2,164,235.967
Ni2Mo,1,196.856
TmOsO2,164,55.274
V3Os,1,134.830
FeSi2Mo,225,120.846
SmIr3,1,103.726
Tc2Pd,1,167.046
Mn2SiH,1,249.222
HfCo3B2,1,171.502
Ti2FeRu,1,86.582
BeSiRu2,1,202.415
Ta2MoRu,1,154.610
Tc3Pt,1,244.951
Ta2Nb,1,229.216
LuIr3,1,328.516
LaRu3,1,113.195
V,2,228.248
Sr3(SnIr)4,1,294.747
CaMgNi4,1,335.756
HfMo2,1,313.226
Co(BW)2,1,201.683
VHRu2,1,103.221
TaHRh,1,188.959
TaIr3,1,389.087
HO2,1,179.170
Al2SbN,194,209.183
PrIr5,1,209.183
V2B3,1,42.660
Mn3Ir,1,233.283
Re3Pt,1,185.984
Ti2Al,1,159.834
FeP2Ir,10,169.954
Ti2OsRu,1,69.520
Rh3W,1,263.609
SmAl2,1,299.520
VN,1,202.415
Bi2SeN4,136,167.046
V2NF,225,222.465
Mn2W2N3,1,209.183
Al2CuOs,1,299.520
SiHRu2,1,281.788
FeSiTc2,1,83.401
AlFe3C,1,150.023
NdCo5,1,222.026
Mn2B4Mo,1,112.737
Al4MoP6,63,193.923
ScTiN2,164,222.465
PtRh4,1,194.942
Nb3B2,1,237.830
MnIr,1,247.397
BaSrS2,2,161.155
U(NiB)2,1,83.401
SmIr5,1,324.192
IrRh,1,237.830
VAsN2,12,151.511
TiReTc2,1,118.344
AlOs,1,298.829
Be3AsN,194,151.511
KCo3,1,327.090
LiMoN2,1,117.829
BRuN2,216,253.107
MoRu3,1,30.305
Al2GeTe4,166,120.846
Fe2B3,1,42.172
UIr2,1,313.226
Tc,1,244.951
CoP2Ru,10,431.480
ZrRhN2,164,130.960
Mn2GaBi,1,319.962
Cr,2,110.299
TmIrO2,164,175.067
Bi2Te4Ir,64,150.023
ZrRe2,1,219.467
TiSiRu2,1,273.822
UCo2,1,328.516
ZrB11,1,298.829
HW,1,296.768
Ni(BMo)2,1,192.458
AlGaAs2,38,182.493
AlV3O6,225,124.981
AlCr,1,281.788
SiRu,1,291.096
VTc,1,255.034
TaFe,1,211.855
H3W,1,197.573
Mo,1,156.630
V2CrFe,1,299.520
FeP2W,225,47.238
PIr,1,389.087
CrWN2,1,197.573
Co3W,1,95.929
HoC,1,284.599
NbCrN,1,129.614
LuVN2,164,264.007
Co3W,1,96.974
B2H,1,328.516
Cr2C,1,267.854
Be9Si4Se,40,170.642
BeSiRu2,1,202.533
Al2Si3Se,65,181.268
BW2,1,242.404
Ta2FeOs,1,389.893
TaHRh,1,189.108
Ag2Sb2Ir,2,194.340
NbIr,1,195.634
Ta4N5,1,253.005
NbB2,1,149.881
CeIr4,1,137.234
Ba3OsN4,223,191.878
V3B4,1,150.023
CoC,1,288.020
FeB5,1,237.506
TiFe2Si,1,310.932
ScMnN2,164,197.869
MnB2,1,251.090
KCo3,1,326.826
