Chemical Formula,Space Group Number,Bulk modulus (Gpa)
TmTe4As,2,43.410
KScO2,164,109.824
GePbS2,166,36.633
InBiTe4,2,40.393
YbTmS2,164,80.485
DyVN2,10,180.786
YbI2F,15,8.763
BeZnO2,10,173.383
AlSI,216,136.354
NaSbAu2,15,65.085
KHoS2,15,36.633
ScIrN2,164,238.399
TmZnO2,2,116.130
PrSeF,216,63.673
CrCl2F,12,5.485
LaH2F,10,47.182
GaAsS4,13,44.798
NdAgS2,12,52.713
YAs2Au,225,80.485
Rb5BI8,1,11.166
SrTl8Te5,12,21.781
NbAuS4,13,0.000
K2IF,15,11.695
LaICl2,10,23.689
RbY5O8,12,114.612
TmClO,216,101.560
MoPbCl4,13,42.840
RbGaI4,13,15.604
SbHBr4,14,21.916
KNdS2,15,49.044
ErHgCl4,13,32.271
LiCrAs,216,56.089
MnAsS2,1,104.989
Te4PIr,13,63.248
LuSbS4,13,75.034
LaBr2F,2,29.068
BeCuO2,2,199.874
TmPdN2,15,180.786
YbBrCl2,10,26.341
Sb2TePd,2,73.288
TiAuS2,166,102.165
InTe4W,13,56.825
SmNiF4,13,134.672
Ni2SeS,63,121.566
BeRuSe4,14,109.240
H2RhF,15,128.681
AsI4F,13,21.916
SrZnTe2,10,33.280
InAgBr4,13,32.271
NaRh5Se8,12,97.135
CsIrSe2,2,51.673
LiScTe2,10,42.596
GdTiAs2,166,88.677
NaTmS2,164,62.484
LaGdN2,164,121.566
HfOF2,1,110.292
LiTaAs2,225,100.105
TiMoS4,13,116.130
ScTaTe4,13,63.056
EuCuS2,10,63.816
LaTlSb2,225,44.798
CsHoH4,13,24.694
LaHoAs2,225,71.912
TiFeO2,15,187.945
CeSmP2,225,81.683
YAgI4,13,26.538
TiAsN2,164,200.164
HoCoP2,164,124.814
CaSb2Ru,225,82.613
GaBrCl2,2,26.341
LiBiS2,15,59.453
RuPbF4,13,0.000
SrCuS2,10,54.250
PrErAs2,225,74.016
RbCoTe2,15,26.918
KSmI4,13,23.133
YbAs2Au,164,73.288
RbGaF4,13,49.044
TmSbTe4,13,42.596
TbSnS4,13,72.170
KYbSe2,15,24.283
BaHgSb,216,30.204
LiErBr4,13,32.271
ErHI4,2,24.076
TmHBr,216,52.335
NbS2F,15,104.849
MoHCl,216,94.563
SmTiI4,13,283.135
TmSiSb2,225,61.199
YMnSb2,225,150.178
CaTl8Te5,2,23.161
SmFeH4,13,97.135
ScHBr4,1,32.271
NaNdI4,13,26.081
TbVAs2,225,88.677
RbTbBr4,13,30.204
TiVSi2,164,157.190
FeRhSe2,164,109.685
NaYbSe2,15,39.469
TeSF4,13,71.558
LiOsS2,10,77.193
MoICl,216,74.016
TmVN2,164,200.164
CaPtF4,13,88.677
PbSeF2,164,41.121
AgAuF4,13,68.948
PrAs2Rh,225,97.135
NiOsCl4,13,84.132
NbVS4,13,93.546
DyVP2,225,106.273
CeNiSb2,139,65.085
FeCuBr4,14,0.000
ErAsO4,13,185.737
Rb8OsO5,12,185.737
RbTe2P,15,40.880
ScCuH4,14,92.074
Tb5TlSe8,12,53.214
KTlCl2,10,16.416
ErTiN2,15,213.423
YbPdS2,65,84.231
CsTlI2,15,8.763
TbNdAs2,225,73.640
VCoAs2,10,139.684
PrNbAs2,225,100.105
GdHF4,13,98.269
ErAuO2,12,49.795
CuPbCl4,13,27.274
CeAsCl,216,60.857
YbEuF4,13,76.070
VBr4F,1,37.272
CaBeSe2,164,63.899
SrFeSe2,164,73.640
CaTmCl4,13,0.000
CsBiO2,15,54.056
TmAlN2,15,173.551
TiI2F,225,63.056
KEr5Te8,12,42.809
CePtN2,10,163.537
RbAgI2,164,18.924
TmSiNi,216,101.560
Mg5TeS8,12,61.199
DyPN2,2,139.254
RbAuO,216,35.040
VTeCl2,15,5.485
SmPtI4,2,35.040
VWCl4,13,163.537
SmCrN2,164,186.850
TmRuCl4,13,53.522
RbTi5S8,12,78.195
SmFeBr4,13,57.923
BaP2Rh,225,72.170
PrH2F,15,92.074
HfTe4Ru,13,79.175
CaPtSe2,10,74.812
NdCuH4,13,68.149
CoP2Rh,10,165.494
LiDyH4,13,56.089
RbMnTe2,15,21.781
NiGeS2,2,76.588
SrSmF4,13,284.275
TmRuO2,164,139.684
RbAuF2,164,37.965
TmZnSe2,1,54.250
VTe4Au,13,131.176
BeCdBr4,13,32.271
TmSbO4,14,181.374
TbMnTe4,13,106.562
HoSb2W,225,111.606
VGeSe4,13,68.948
TmCrP2,225,109.824
TbAs2Pd,164,92.613
GeRhCl4,13,54.020
WAuS4,13,93.057
TbAs2Au,12,86.311
PICl2,15,17.670
MnAuSe4,10,0.000
TmZnBr4,13,57.740
CeAuN2,166,124.814
HfFeAs2,10,124.814
BeCuBr4,2,45.284
NbHI4,13,463.898
CsNbCl4,13,471.619
NbHBr4,13,157.190
CsAs5O8,1,368.769
Ti2AsN,225,157.190
SmH2Cl,10,30.204
YCrN2,164,172.411
RbInO2,164,92.074
HgSbCl4,13,20.996
BaPbBr4,13,26.538
SrTmS2,15,73.037
Ba2SbCl,15,27.274
IrAuCl4,13,59.394
CsVBr4,7,0.000
MgTiI4,13,213.423
Tm2HN,225,109.824
YbDyN2,15,131.176
PrICl2,10,23.739
TmHO2,164,135.221
KTmF4,13,61.199
TlTeF,216,42.598
TmNbSe4,13,79.465
DyTiN2,164,200.164
DyH2Cl,15,63.250
RbYH4,13,37.965
CoSnBr4,13,238.399
BaSb2Pd,164,47.055
LiPrH4,13,47.182
CoRuBr4,13,84.132
LaAuS2,2,35.173
IrAuBr4,13,49.539
YbCoAs2,225,85.025
PrFeP2,225,61.199
CdCoI4,14,63.593
KYO2,15,71.719
MgReTe4,13,55.929
LaInN2,15,121.566
SmCdBr4,13,28.320
KIr5S8,12,134.034
WBr4Cl,13,45.654
K5SbF8,15,34.362
BiWSe4,13,73.037
NbCoP2,164,213.423
AlHgI4,13,17.629
SnRuI4,14,43.410
EuMgO2,164,114.612
CoBiTe4,13,58.349
TiCuO2,10,176.218
MnHgS2,164,57.740
ZnReS4,2,107.654
Sm2SO,164,53.522
GaHO2,15,93.546
TiVH4,12,157.190
KRbI2,15,9.018
